İngilizce,Türkçe,Okunuş,Seviye,Kategori
seriously,cidden,Sİ-ri-ıs-li,B1,"Zarflar, bağlaçlar & zaman"
slowly,yavaşça,SLOU-li,A2,"Zarflar, bağlaçlar & zaman"
sometimes,bazen,SAM-taymz,A2,"Zarflar, bağlaçlar & zaman"
soon,yakında,suun,A2,"Zarflar, bağlaçlar & zaman"
still,hâlâ,stil,A2,"Zarflar, bağlaçlar & zaman"
suddenly,aniden,SA-dın-li,A2,"Zarflar, bağlaçlar & zaman"
therefore,bu yüzden,DEER-for,B2,"Zarflar, bağlaçlar & zaman"
though,"gerçi, ama",dou,B1,"Zarflar, bağlaçlar & zaman"
through,"boyunca, içinden",thruu,A2,"Zarflar, bağlaçlar & zaman"
together,birlikte,tu-GE-dır,A2,"Zarflar, bağlaçlar & zaman"
towards,-e doğru,tı-WORDZ,B1,"Zarflar, bağlaçlar & zaman"
unless,-medikçe,ın-LES,B1,"Zarflar, bağlaçlar & zaman"
until,-e kadar,ın-TİL,A2,"Zarflar, bağlaçlar & zaman"
usually,genellikle,YU-ju-ı-li,A2,"Zarflar, bağlaçlar & zaman"
whenever,ne zaman olursa,wen-E-vır,B1,"Zarflar, bağlaçlar & zaman"
while,-iken,wayl,A2,"Zarflar, bağlaçlar & zaman"
yet,henüz,yet,A2,"Zarflar, bağlaçlar & zaman"
ability,yetenek,ı-Bİ-lı-ti,B1,İş hayatı & ofis
achievement,başarı,ı-ÇİİV-mınt,B1,İş hayatı & ofis
advantage,avantaj,ıd-VAN-tic,B1,İş hayatı & ofis
advertisement,reklam,ıd-VÖR-tis-mınt,B1,İş hayatı & ofis
agenda,gündem,ı-CEN-dı,B2,İş hayatı & ofis
agreement,anlaşma,ıg-Rİİ-mınt,B1,İş hayatı & ofis
aim,"amaç, hedef",eym,B1,İş hayatı & ofis
announcement,duyuru,ı-NAUNS-mınt,B1,İş hayatı & ofis
application,başvuru; uygulama,ep-li-KEY-şın,B1,İş hayatı & ofis
appointment,randevu,ı-POYNT-mınt,A2,İş hayatı & ofis
approach,yaklaşım,ı-PROUÇ,B2,İş hayatı & ofis
approval,onay,ı-PRUU-vıl,B2,İş hayatı & ofis
argument,tartışma; argüman,AR-gyu-mınt,B1,İş hayatı & ofis
assistant,asistan,ı-SİS-tınt,A2,İş hayatı & ofis
attempt,"girişim, denemek",ı-TEMPT,B2,İş hayatı & ofis
attention,dikkat,ı-TEN-şın,B1,İş hayatı & ofis
average,ortalama,EV-rıc,B1,İş hayatı & ofis
benefit,"fayda, yan hak",BE-ni-fit,B1,İş hayatı & ofis
board,yönetim kurulu; pano,bord,B2,İş hayatı & ofis
boss,patron,bos,A2,İş hayatı & ofis
branch,şube; dal,brenç,B1,İş hayatı & ofis
budget,bütçe,BA-cit,B1,İş hayatı & ofis
career,kariyer,kı-RİİR,B1,İş hayatı & ofis
challenge,"zorluk, meydan okuma",ÇE-linc,B1,İş hayatı & ofis
chance,"şans, olasılık",çans,A2,İş hayatı & ofis
claim,"iddia etmek, talep etmek",kleym,B2,İş hayatı & ofis
client,müşteri (hizmet),KLA-yınt,B1,İş hayatı & ofis
colleague,iş arkadaşı,KO-liig,B1,İş hayatı & ofis
company,şirket,KAM-pı-ni,A2,İş hayatı & ofis
competition,"rekabet, yarışma",kom-pı-Tİ-şın,B1,İş hayatı & ofis
complaint,şikâyet,kım-PLEYNT,B1,İş hayatı & ofis
conclusion,sonuç,kın-KLUU-jın,B2,İş hayatı & ofis
conference,konferans,KON-fı-rıns,B1,İş hayatı & ofis
contract,sözleşme,KONT-rekt,B1,İş hayatı & ofis
customer,müşteri,KAS-tı-mır,A2,İş hayatı & ofis
deadline,teslim tarihi,DED-layn,B1,İş hayatı & ofis
deal,anlaşma,diil,B1,İş hayatı & ofis
decision,karar,di-Sİ-jın,A2,İş hayatı & ofis
delay,gecikme,di-LEY,B1,İş hayatı & ofis
demand,talep,di-MAND,B2,İş hayatı & ofis
department,"departman, bölüm",di-PART-mınt,A2,İş hayatı & ofis
detail,ayrıntı,Dİİ-teyl,A2,İş hayatı & ofis
difference,fark,Dİ-fı-rıns,A2,İş hayatı & ofis
discount,indirim,DİS-kaunt,B1,İş hayatı & ofis
document,belge,DO-kyu-mınt,A2,İş hayatı & ofis
effort,çaba,E-fırt,B1,İş hayatı & ofis
employee,çalışan,imp-lo-Yİİ,B1,İş hayatı & ofis
employer,işveren,imp-LO-yır,B1,İş hayatı & ofis
environment,"ortam, çevre",in-VA-yı-rın-mınt,B1,İş hayatı & ofis
equipment,ekipman,i-KWİP-mınt,B1,İş hayatı & ofis
experience,deneyim,iks-Pİ-ri-ıns,A2,İş hayatı & ofis
expert,uzman,EKS-pört,B1,İş hayatı & ofis
failure,başarısızlık,FEYL-yır,B2,İş hayatı & ofis
feedback,geri bildirim,FİİD-bek,B1,İş hayatı & ofis
focus,"odaklanmak, odak",FOU-kıs,B1,İş hayatı & ofis
goal,hedef,goul,A2,İş hayatı & ofis
growth,büyüme,grouth,B2,İş hayatı & ofis
idea,fikir,ay-Dİ-ı,A2,İş hayatı & ofis
impact,etki,İM-pekt,B2,İş hayatı & ofis
improvement,"iyileşme, gelişme",im-PRUUV-mınt,B1,İş hayatı & ofis
industry,"sektör, sanayi",İN-dıs-tri,B1,İş hayatı & ofis
influence,etki,İN-flu-ıns,B2,İş hayatı & ofis
information,bilgi,in-fır-MEY-şın,A2,İş hayatı & ofis
interview,mülakat,İN-tır-vyu,A2,İş hayatı & ofis
issue,"sorun, mesele",İ-şuu,B1,İş hayatı & ofis
knowledge,bilgi (birikimi),NO-lic,B1,İş hayatı & ofis
leadership,liderlik,LİİN-dır-şip,B2,İş hayatı & ofis
level,seviye,LE-vıl,A2,İş hayatı & ofis
management,yönetim,ME-nic-mınt,B1,İş hayatı & ofis
manager,yönetici,ME-ni-cır,A2,İş hayatı & ofis
market,"pazar, piyasa",MAR-kit,B1,İş hayatı & ofis
meeting,toplantı,Mİİ-ting,A2,İş hayatı & ofis
method,yöntem,ME-thıd,B1,İş hayatı & ofis
mistake,hata,mis-TEYK,A2,İş hayatı & ofis
note,not,nout,A2,İş hayatı & ofis
opportunity,fırsat,o-pır-TYU-nı-ti,B1,İş hayatı & ofis
option,seçenek,OP-şın,B1,İş hayatı & ofis
partner,ortak,PART-nır,B1,İş hayatı & ofis
performance,performans,pır-FOR-mıns,B1,İş hayatı & ofis
permission,izin,pır-Mİ-şın,B1,İş hayatı & ofis
position,pozisyon,pı-Zİ-şın,B1,İş hayatı & ofis
presentation,sunum,pre-zın-TEY-şın,B1,İş hayatı & ofis
pressure,baskı,PRE-şır,B1,İş hayatı & ofis
priority,öncelik,pray-O-rı-ti,B2,İş hayatı & ofis
process,süreç,PROU-ses,B1,İş hayatı & ofis
product,ürün,PRO-dakt,A2,İş hayatı & ofis
progress,ilerleme,PROU-gres,B1,İş hayatı & ofis
project,proje,PRO-cekt,A2,İş hayatı & ofis
promotion,terfi; tanıtım,prı-MOU-şın,B1,İş hayatı & ofis
purpose,amaç,PÖR-pıs,B1,İş hayatı & ofis
quality,kalite,KWO-lı-ti,B1,İş hayatı & ofis
quantity,miktar,KWON-tı-ti,B1,İş hayatı & ofis
reason,sebep,Rİİ-zın,A2,İş hayatı & ofis
record,"kayıt, kaydetmek",RE-kord,B1,İş hayatı & ofis
research,araştırma,ri-SÖRÇ,B1,İş hayatı & ofis
responsibility,sorumluluk,ris-pon-sı-Bİ-lı-ti,B1,İş hayatı & ofis
result,sonuç,ri-ZALT,A2,İş hayatı & ofis
risk,risk,risk,B1,İş hayatı & ofis
schedule,"program, takvim",SKE-cul,B1,İş hayatı & ofis
service,hizmet,SÖR-vis,A2,İş hayatı & ofis
skill,beceri,skil,B1,İş hayatı & ofis
solution,çözüm,sı-LUU-şın,B1,İş hayatı & ofis
staff,personel,staf,B1,İş hayatı & ofis
strategy,strateji,STRE-tı-ci,B2,İş hayatı & ofis
success,başarı,sık-SES,A2,İş hayatı & ofis
suggestion,öneri,sıc-CES-çın,B1,İş hayatı & ofis
target,hedef,TAR-git,B1,İş hayatı & ofis
task,görev,task,B1,İş hayatı & ofis
team,takım,tiim,A2,İş hayatı & ofis
training,eğitim,TREY-ning,B1,İş hayatı & ofis
trend,"eğilim, trend",trend,B2,İş hayatı & ofis
value,değer,VEL-yu,B1,İş hayatı & ofis
access,erişim,EK-ses,B1,Teknoloji & internet
account,hesap,ı-KAUNT,A2,Teknoloji & internet
attachment,ek (dosya),ı-TEÇ-mınt,B1,Teknoloji & internet
backup,yedek,BEK-ap,B1,Teknoloji & internet
battery,"pil, batarya",BE-tı-ri,A2,Teknoloji & internet
browser,tarayıcı,BRAU-zır,B1,Teknoloji & internet
bug,hata (yazılım),bag,B1,Teknoloji & internet
button,düğme,BA-tın,A2,Teknoloji & internet
cable,kablo,KEY-bıl,A2,Teknoloji & internet
charge,şarj etmek,çarc,A2,Teknoloji & internet
click,tıklamak,klik,A2,Teknoloji & internet
cloud,bulut,klaud,B1,Teknoloji & internet
code,kod,koud,A2,Teknoloji & internet
command,komut,kı-MAND,B1,Teknoloji & internet
compatible,uyumlu,kım-PE-tı-bıl,B2,Teknoloji & internet
computer,bilgisayar,kım-PYU-tır,A2,Teknoloji & internet
content,içerik,KON-tent,B1,Teknoloji & internet
crash,çökmek (sistem),kreş,B1,Teknoloji & internet
data,veri,DEY-tı,A2,Teknoloji & internet
database,veri tabanı,DEY-tı-beys,B1,Teknoloji & internet
default,varsayılan,di-FOLT,B2,Teknoloji & internet
delete,silmek,di-LİİT,A2,Teknoloji & internet
device,cihaz,di-VAYS,B1,Teknoloji & internet
digital,dijital,Dİ-ci-tıl,A2,Teknoloji & internet
display,"ekran, göstermek",dis-PLEY,B1,Teknoloji & internet
download,indirmek,DAUN-loud,A2,Teknoloji & internet
draft,taslak,draft,B1,Teknoloji & internet
engine,motor,EN-cin,B1,Teknoloji & internet
error,hata,E-rır,A2,Teknoloji & internet
feature,özellik,Fİİ-çır,B1,Teknoloji & internet
file,dosya,fayl,A2,Teknoloji & internet
folder,klasör,FOUL-dır,A2,Teknoloji & internet
hardware,donanım,HARD-weer,B1,Teknoloji & internet
header,başlık (üst bilgi),HE-dır,B1,Teknoloji & internet
install,kurmak,ins-TOL,B1,Teknoloji & internet
interface,arayüz,İN-tır-feys,B2,Teknoloji & internet
internet,internet,İN-tır-net,A2,Teknoloji & internet
keyboard,klavye,KİİY-bord,A2,Teknoloji & internet
launch,"piyasaya sürmek, başlatmak",lonç,B2,Teknoloji & internet
layout,"düzen, yerleşim",LEY-aut,B1,Teknoloji & internet
link,bağlantı,link,A2,Teknoloji & internet
load,yüklemek,loud,B1,Teknoloji & internet
login,giriş,LOG-in,A2,Teknoloji & internet
memory,"hafıza, bellek",ME-mı-ri,A2,Teknoloji & internet
message,mesaj,ME-sic,A2,Teknoloji & internet
mobile,"mobil, cep",MOU-bayl,A2,Teknoloji & internet
network,ağ,NET-wörk,B1,Teknoloji & internet
notification,bildirim,nou-ti-fi-KEY-şın,B1,Teknoloji & internet
online,çevrim içi,ON-layn,A2,Teknoloji & internet
password,şifre,PAS-wörd,A2,Teknoloji & internet
platform,platform,PLET-form,B1,Teknoloji & internet
print,yazdırmak,print,A2,Teknoloji & internet
privacy,gizlilik,PRAY-vı-si,B2,Teknoloji & internet
profile,profil,PROU-fayl,A2,Teknoloji & internet
program,program,PROU-grem,A2,Teknoloji & internet
query,sorgu,KWİ-ri,B2,Teknoloji & internet
queue,"kuyruk, sıra",kyuu,B2,Teknoloji & internet
remote,uzaktan,ri-MOUT,B1,Teknoloji & internet
reset,sıfırlamak,ri-SET,B1,Teknoloji & internet
response,yanıt,ris-PONS,B1,Teknoloji & internet
screen,ekran,skriin,A2,Teknoloji & internet
scroll,kaydırmak,skroul,A2,Teknoloji & internet
search engine,arama motoru,SÖRÇ en-cin,A2,Teknoloji & internet
security,güvenlik,si-KYU-rı-ti,B1,Teknoloji & internet
server,sunucu,SÖR-vır,B1,Teknoloji & internet
setting,ayar,SE-ting,A2,Teknoloji & internet
software,yazılım,SOFT-weer,A2,Teknoloji & internet
speed,hız,spiid,A2,Teknoloji & internet
storage,depolama,STO-ric,B1,Teknoloji & internet
stream,"yayın, akış",striim,B1,Teknoloji & internet
subscribe,abone olmak,sıbs-KRAYB,B1,Teknoloji & internet
switch,"değiştirmek, geçmek",swiç,B1,Teknoloji & internet
system,sistem,SİS-tım,A2,Teknoloji & internet
tool,araç,tuul,A2,Teknoloji & internet
track,"takip etmek, izlemek",trek,B1,Teknoloji & internet
update,güncelleme,AP-deyt,A2,Teknoloji & internet
upgrade,yükseltmek,AP-greyd,B1,Teknoloji & internet
upload,yüklemek,AP-loud,A2,Teknoloji & internet
user,kullanıcı,YU-zır,A2,Teknoloji & internet
version,sürüm,VÖR-jın,A2,Teknoloji & internet
virus,virüs,VAY-rıs,A2,Teknoloji & internet
website,web sitesi,WEB-sayt,A2,Teknoloji & internet
wireless,kablosuz,WA-yır-lıs,B1,Teknoloji & internet
amount,miktar,ı-MAUNT,B1,Para & alışveriş
bank account,banka hesabı,BENK ı-kaunt,A2,Para & alışveriş
bargain,kelepir; pazarlık etmek,BAR-gin,B2,Para & alışveriş
bill,"fatura, hesap",bil,A2,Para & alışveriş
brand,marka,brend,B1,Para & alışveriş
cash,nakit,keş,A2,Para & alışveriş
cheque,çek,çek,B1,Para & alışveriş
coin,madenî para,koyn,A2,Para & alışveriş
credit,kredi,KRE-dit,B1,Para & alışveriş
currency,para birimi,KA-rın-si,B2,Para & alışveriş
customer service,müşteri hizmetleri,KAS-tı-mır sör-vis,A2,Para & alışveriş
debt,borç,det,B2,Para & alışveriş
delivery,teslimat,di-Lİ-vı-ri,A2,Para & alışveriş
deposit,"depozito, yatırmak",di-PO-zit,B2,Para & alışveriş
exchange,"değişim, döviz",iks-ÇEYNC,B1,Para & alışveriş
expense,masraf,iks-PENS,B2,Para & alışveriş
fee,ücret,fii,B1,Para & alışveriş
fund,fon,fand,B2,Para & alışveriş
guarantee,garanti,ge-rın-Tİİ,B1,Para & alışveriş
income,gelir,İN-kam,B1,Para & alışveriş
installment,taksit,ins-TOL-mınt,B2,Para & alışveriş
insurance,sigorta,in-ŞU-rıns,B1,Para & alışveriş
interest,faiz; ilgi,İNT-rıst,B1,Para & alışveriş
invest,yatırım yapmak,in-VEST,B2,Para & alışveriş
invoice,fatura,İN-voys,B2,Para & alışveriş
loan,"kredi, borç",loun,B1,Para & alışveriş
loss,"zarar, kayıp",los,B1,Para & alışveriş
owe,borçlu olmak,ou,B2,Para & alışveriş
payment,ödeme,PEY-mınt,A2,Para & alışveriş
price,fiyat,prays,A2,Para & alışveriş
profit,kâr,PRO-fit,B1,Para & alışveriş
purchase,satın alma,PÖR-çıs,B2,Para & alışveriş
rate,oran,reyt,B1,Para & alışveriş
receipt,"fiş, makbuz",ri-SİİT,B1,Para & alışveriş
receipt number,fiş numarası,ri-SİİT nam-bır,A2,Para & alışveriş
refund,"geri ödeme, iade",Rİİ-fand,B1,Para & alışveriş
rent,kira,rent,A2,Para & alışveriş
salary,maaş,SE-lı-ri,B1,Para & alışveriş
sale,"satış, indirim",seyl,A2,Para & alışveriş
saving,tasarruf,SEY-ving,B1,Para & alışveriş
shop,dükkân,şop,A2,Para & alışveriş
shopping cart,alışveriş sepeti,ŞO-ping kart,A2,Para & alışveriş
tax,vergi,teks,B1,Para & alışveriş
transfer,"transfer, havale",TRANS-fır,B1,Para & alışveriş
wage,ücret (saatlik/haftalık),weyc,B2,Para & alışveriş
wallet,cüzdan,WO-lit,A2,Para & alışveriş
wealth,servet,welth,B2,Para & alışveriş
adult,yetişkin,E-dalt,A2,İnsanlar & duygular
advice,tavsiye,ıd-VAYS,A2,İnsanlar & duygular
age,yaş,eyc,A2,İnsanlar & duygular
ambition,"hırs, tutku",em-Bİ-şın,B2,İnsanlar & duygular
anger,öfke,ENG-gır,B2,İnsanlar & duygular
attitude,tutum,E-ti-tyud,B1,İnsanlar & duygular
aunt,"teyze, hala",ant,A2,İnsanlar & duygular
baby,bebek,BEY-bi,A2,İnsanlar & duygular
behaviour,davranış,bi-HEY-vyır,B1,İnsanlar & duygular
belief,inanç,bi-LİİF,B2,İnsanlar & duygular
boyfriend,erkek arkadaş,BOY-frend,A2,İnsanlar & duygular
character,karakter,KE-rık-tır,B1,İnsanlar & duygular
childhood,çocukluk,ÇAYLD-hud,B1,İnsanlar & duygular
confidence,özgüven,KON-fi-dıns,B2,İnsanlar & duygular
couple,çift,KA-pıl,A2,İnsanlar & duygular
cousin,kuzen,KA-zın,A2,İnsanlar & duygular
crowd,kalabalık,kraud,B1,İnsanlar & duygular
culture,kültür,KAL-çır,B1,İnsanlar & duygular
curiosity,merak,kyu-ri-O-sı-ti,B2,İnsanlar & duygular
daughter,kız evlat,DO-tır,A2,İnsanlar & duygular
disappointment,hayal kırıklığı,di-sı-POYNT-mınt,B2,İnsanlar & duygular
divorce,boşanma,di-VORS,B1,İnsanlar & duygular
embarrassed,"utanmış, mahcup",im-BE-rıst,B1,İnsanlar & duygular
emotion,duygu,i-MOU-şın,B2,İnsanlar & duygular
enemy,düşman,E-nı-mi,B1,İnsanlar & duygular
engagement,nişan; katılım,in-GEYC-mınt,B2,İnsanlar & duygular
excitement,heyecan,ik-SAYT-mınt,B1,İnsanlar & duygular
fear,korku,fiir,B1,İnsanlar & duygular
feeling,"his, duygu",Fİİ-ling,A2,İnsanlar & duygular
female,"kadın, dişi",Fİİ-meyl,B1,İnsanlar & duygular
friendship,arkadaşlık,FREND-şip,A2,İnsanlar & duygular
generation,kuşak,ce-nı-REY-şın,B1,İnsanlar & duygular
girlfriend,kız arkadaş,GÖRL-frend,A2,İnsanlar & duygular
grandfather,dede,GREND-fa-dır,A2,İnsanlar & duygular
grandmother,büyükanne,GREND-ma-dır,A2,İnsanlar & duygular
guest,misafir,gest,A2,İnsanlar & duygular
habit,alışkanlık,HE-bit,B1,İnsanlar & duygular
happiness,mutluluk,HE-pi-nıs,B1,İnsanlar & duygular
heart,kalp,hart,A2,İnsanlar & duygular
honesty,dürüstlük,O-nıs-ti,B2,İnsanlar & duygular
humour,mizah,HYU-mır,B1,İnsanlar & duygular
husband,"koca, eş",HAZ-bınd,A2,İnsanlar & duygular
identity,kimlik,ay-DEN-tı-ti,B2,İnsanlar & duygular
individual,birey,in-di-Vİ-cu-ıl,B2,İnsanlar & duygular
jealous,kıskanç,CE-lıs,B1,İnsanlar & duygular
joy,"neşe, sevinç",coy,B1,İnsanlar & duygular
kid,çocuk,kid,A2,İnsanlar & duygular
loneliness,yalnızlık,LOUN-li-nıs,B2,İnsanlar & duygular
love,"sevgi, aşk",lav,A2,İnsanlar & duygular
male,erkek,meyl,B1,İnsanlar & duygular
marriage,evlilik,ME-ric,B1,İnsanlar & duygular
mind,zihin,maynd,A2,İnsanlar & duygular
mood,ruh hâli,muud,B1,İnsanlar & duygular
neighbour,komşu,NEY-bır,A2,İnsanlar & duygular
nephew,erkek yeğen,NE-fyu,B1,İnsanlar & duygular
niece,kız yeğen,niis,B1,İnsanlar & duygular
opinion,"görüş, fikir",ı-PİN-yın,A2,İnsanlar & duygular
pain,acı,peyn,A2,İnsanlar & duygular
parent,ebeveyn,PEE-rınt,A2,İnsanlar & duygular
passion,tutku,PE-şın,B2,İnsanlar & duygular
patience,sabır,PEY-şıns,B2,İnsanlar & duygular
personality,kişilik,pör-sı-NE-lı-ti,B1,İnsanlar & duygular
pride,gurur,prayd,B2,İnsanlar & duygular
relationship,ilişki,ri-LEY-şın-şip,B1,İnsanlar & duygular
relative,akraba,RE-lı-tiv,B1,İnsanlar & duygular
respect,saygı,ris-PEKT,B1,İnsanlar & duygular
retirement,emeklilik,ri-TA-yır-mınt,B2,İnsanlar & duygular
sadness,üzüntü,SED-nıs,B1,İnsanlar & duygular
shame,utanç,şeym,B2,İnsanlar & duygular
shy,utangaç,şay,A2,İnsanlar & duygular
sister,kız kardeş,SİS-tır,A2,İnsanlar & duygular
smile,gülümseme,smayl,A2,İnsanlar & duygular
society,toplum,sı-SA-yı-ti,B1,İnsanlar & duygular
son,oğul,san,A2,İnsanlar & duygular
stranger,yabancı (kişi),STREYN-cır,B1,İnsanlar & duygular
stress,stres,stres,B1,İnsanlar & duygular
sympathy,"anlayış, sempati",SİM-pı-thi,B2,İnsanlar & duygular
teenager,"ergen, genç",TİİN-ey-cır,A2,İnsanlar & duygular
thought,düşünce,thot,A2,İnsanlar & duygular
trust,güven,trast,B1,İnsanlar & duygular
truth,"gerçek, doğruluk",truuth,B1,İnsanlar & duygular
uncle,"amca, dayı",ANG-kıl,A2,İnsanlar & duygular
voice,ses (insan),voys,A2,İnsanlar & duygular
wife,"eş, karı",wayf,A2,İnsanlar & duygular
wisdom,bilgelik,WİZ-dım,B2,İnsanlar & duygular
youth,gençlik,yuuth,B2,İnsanlar & duygular
apartment,daire,ı-PART-mınt,A2,"Ev, şehir & günlük hayat"
appliance,ev aleti,ı-PLA-yıns,B2,"Ev, şehir & günlük hayat"
area,"bölge, alan",EE-ri-ı,A2,"Ev, şehir & günlük hayat"
bathroom,banyo,BATH-ruum,A2,"Ev, şehir & günlük hayat"
bedroom,yatak odası,BED-ruum,A2,"Ev, şehir & günlük hayat"
bell,zil,bel,A2,"Ev, şehir & günlük hayat"
blanket,battaniye,BLENG-kit,A2,"Ev, şehir & günlük hayat"
block,"blok, apartman",blok,A2,"Ev, şehir & günlük hayat"
bridge,köprü,bric,A2,"Ev, şehir & günlük hayat"
building,bina,BİL-ding,A2,"Ev, şehir & günlük hayat"
candle,mum,KEN-dıl,A2,"Ev, şehir & günlük hayat"
ceiling,tavan,Sİİ-ling,B1,"Ev, şehir & günlük hayat"
chair,sandalye,çeer,A2,"Ev, şehir & günlük hayat"
chore,ev işi,çor,B2,"Ev, şehir & günlük hayat"
church,kilise,çörç,A2,"Ev, şehir & günlük hayat"
city centre,şehir merkezi,Sİ-ti sen-tır,A2,"Ev, şehir & günlük hayat"
cleaning,temizlik,KLİİ-ning,A2,"Ev, şehir & günlük hayat"
clothes,kıyafet,klouz,A2,"Ev, şehir & günlük hayat"
corner,köşe,KOR-nır,A2,"Ev, şehir & günlük hayat"
countryside,"kırsal, taşra",KANT-ri-sayd,B1,"Ev, şehir & günlük hayat"
cupboard,dolap,KA-bırd,A2,"Ev, şehir & günlük hayat"
curtain,perde,KÖR-tın,B1,"Ev, şehir & günlük hayat"
cushion,minder,KU-şın,B1,"Ev, şehir & günlük hayat"
desk,çalışma masası,desk,A2,"Ev, şehir & günlük hayat"
dish,tabak; yemek,diş,A2,"Ev, şehir & günlük hayat"
door,kapı,dor,A2,"Ev, şehir & günlük hayat"
drawer,çekmece,dror,B1,"Ev, şehir & günlük hayat"
electricity,elektrik,i-lek-TRİ-sı-ti,B1,"Ev, şehir & günlük hayat"
entrance,giriş,ENT-rıns,B1,"Ev, şehir & günlük hayat"
fence,çit,fens,B1,"Ev, şehir & günlük hayat"
floor,zemin; kat,flor,A2,"Ev, şehir & günlük hayat"
furniture,mobilya,FÖR-ni-çır,A2,"Ev, şehir & günlük hayat"
garage,garaj,GE-rac,A2,"Ev, şehir & günlük hayat"
garbage,çöp,GAR-bic,A2,"Ev, şehir & günlük hayat"
garden,bahçe,GAR-dın,A2,"Ev, şehir & günlük hayat"
gate,kapı (bahçe/kapı ağzı),geyt,A2,"Ev, şehir & günlük hayat"
glass,bardak; cam,glas,A2,"Ev, şehir & günlük hayat"
ground,"yer, zemin",graund,A2,"Ev, şehir & günlük hayat"
hall,"koridor, salon",hol,A2,"Ev, şehir & günlük hayat"
heating,ısıtma,Hİİ-ting,B1,"Ev, şehir & günlük hayat"
key,anahtar,kii,A2,"Ev, şehir & günlük hayat"
kitchen,mutfak,Kİ-çın,A2,"Ev, şehir & günlük hayat"
lamp,lamba,lemp,A2,"Ev, şehir & günlük hayat"
landlord,ev sahibi,LEND-lord,B1,"Ev, şehir & günlük hayat"
laundry,çamaşır,LON-dri,B1,"Ev, şehir & günlük hayat"
library,kütüphane,LAYB-rı-ri,A2,"Ev, şehir & günlük hayat"
lock,kilit,lok,A2,"Ev, şehir & günlük hayat"
mall,alışveriş merkezi,mol,A2,"Ev, şehir & günlük hayat"
mirror,ayna,Mİ-rır,A2,"Ev, şehir & günlük hayat"
neighbourhood,mahalle,NEY-bır-hud,B1,"Ev, şehir & günlük hayat"
noise,gürültü,noyz,A2,"Ev, şehir & günlük hayat"
office,ofis,O-fis,A2,"Ev, şehir & günlük hayat"
oven,fırın,A-vın,A2,"Ev, şehir & günlük hayat"
park,park,park,A2,"Ev, şehir & günlük hayat"
pillow,yastık,Pİ-lou,A2,"Ev, şehir & günlük hayat"
pipe,boru,payp,B1,"Ev, şehir & günlük hayat"
plug,"fiş, priz",plag,B1,"Ev, şehir & günlük hayat"
pool,havuz,puul,A2,"Ev, şehir & günlük hayat"
post office,postane,POUST o-fis,A2,"Ev, şehir & günlük hayat"
property,mülk,PRO-pır-ti,B2,"Ev, şehir & günlük hayat"
roof,çatı,ruuf,A2,"Ev, şehir & günlük hayat"
room,oda,ruum,A2,"Ev, şehir & günlük hayat"
rubbish,çöp,RA-biş,B1,"Ev, şehir & günlük hayat"
rubbish bin,çöp kutusu,RA-biş bin,A2,"Ev, şehir & günlük hayat"
rug,"kilim, halı",rag,B1,"Ev, şehir & günlük hayat"
shelf,raf,şelf,A2,"Ev, şehir & günlük hayat"
shower,duş,ŞAU-ır,A2,"Ev, şehir & günlük hayat"
sink,lavabo,sink,A2,"Ev, şehir & günlük hayat"
sofa,"koltuk, kanepe",SOU-fı,A2,"Ev, şehir & günlük hayat"
square,meydan,skweer,A2,"Ev, şehir & günlük hayat"
stairs,merdiven,steerz,A2,"Ev, şehir & günlük hayat"
street,sokak,striit,A2,"Ev, şehir & günlük hayat"
tap,musluk,tep,A2,"Ev, şehir & günlük hayat"
tenant,kiracı,TE-nınt,B2,"Ev, şehir & günlük hayat"
tent,çadır,tent,A2,"Ev, şehir & günlük hayat"
towel,havlu,TAU-ıl,A2,"Ev, şehir & günlük hayat"
town,kasaba,taun,A2,"Ev, şehir & günlük hayat"
traffic,trafik,TRE-fik,A2,"Ev, şehir & günlük hayat"
tree,ağaç,trii,A2,"Ev, şehir & günlük hayat"
view,manzara,vyuu,A2,"Ev, şehir & günlük hayat"
village,köy,Vİ-lic,A2,"Ev, şehir & günlük hayat"
wall,duvar,wol,A2,"Ev, şehir & günlük hayat"
washing machine,çamaşır makinesi,WO-şing mı-şiin,A2,"Ev, şehir & günlük hayat"
weather,hava durumu,WE-dır,A2,"Ev, şehir & günlük hayat"
window,pencere,WİN-dou,A2,"Ev, şehir & günlük hayat"
yard,"avlu, bahçe",yard,B1,"Ev, şehir & günlük hayat"
ache,ağrı,eyk,B1,Yemek & sağlık
ambulance,ambulans,EM-byu-lıns,A2,Yemek & sağlık
appetite,iştah,E-pı-tayt,B2,Yemek & sağlık
bake,fırında pişirmek,beyk,A2,Yemek & sağlık
bandage,"bandaj, sargı",BEN-dic,B1,Yemek & sağlık
beans,fasulye,biinz,A2,Yemek & sağlık
beef,dana eti,biif,A2,Yemek & sağlık
bitter,acı (tat),Bİ-tır,B1,Yemek & sağlık
blood,kan,blad,A2,Yemek & sağlık
boil,kaynatmak,boyl,A2,Yemek & sağlık
bone,kemik,boun,A2,Yemek & sağlık
bread,ekmek,bred,A2,Yemek & sağlık
breakfast,kahvaltı,BREK-fıst,A2,Yemek & sağlık
breathe,nefes almak,briid,B1,Yemek & sağlık
butter,tereyağı,BA-tır,A2,Yemek & sağlık
cabbage,lahana,KE-bic,B1,Yemek & sağlık
calorie,kalori,KE-lı-ri,B1,Yemek & sağlık
